text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
b'@chicobarney @NPTO Como pode esse grupo de terroristas ir contra o governo assim?',2019-04-14 18:48:02,,pt,b'None',,3474,468,b'None',Porto Alegre/RS,14628171,2008-05-02 16:59:14,False,False,,1,66,False,,187,True,b'Bruno Costa',pt,serialxp,True,C0DEED,http://pbs.twimg.com/profile_images/881580688289476609/0cvmyA6X_normal.jpg,,1117499773676814338,0,False,Twitter for Android,False,0
b'EUA FINANCIARAM PROGRAMA DE ESTERILIZAO EM MASSA COMANDADO POR FUJIMORI. Fomentaram essa poltica com US$ 180 mil https://t.co/ytHJCRvxf6',2019-04-14 18:48:05,,pt,b'None',,182871,258064,"b'Tuiteira independente, em busca do melhor para todos. O mundo sofre influncia geral por ser um grande quintal. No sou nada, s quero que tudo d certo.'",BRASIL/RJ,541156738,2012-03-30 21:53:59,False,False,,52,11812,False,,4684,False,b'#LulaFreeAssange',pt,MariluParreiras,True,000000,http://pbs.twimg.com/profile_images/1107391606850834433/Jpk5AUPG_normal.jpg,,1117499786427535360,0,False,Twitter for Android,False,0
b'@Olga81697870 @borbojinha @PauloRo49195361 @jandira_feghali O PP fez parte da base de governo por 30 anos de governos comunistas?',2019-04-14 18:48:06,,pt,b'None',,18169,17827,"b'Catarinense, Conservador: Nenhum Arrependimento de Votar em Bolsonaro!!!  Aliais, nem sei de onde essas porqueiras da esquerda tiram isso!!!'","Santa Catarina, Brasil",868162164,2012-10-08 15:22:43,False,False,https://gab.ai/CES_1973,1,2017,False,,2228,False,b'O Cristian',pt,CES_1973,True,000000,http://pbs.twimg.com/profile_images/1085697742775746560/5wDNvKa7_normal.jpg,,1117499790651219970,0,False,Twitter Web App,False,0
b'@CedeSilva Tem uma turma que acha que  tudo astcia no governo Bolsonaro. https://t.co/PADDs3g31R',2019-04-14 18:48:09,,pt,b'None',,13072,38557,b'Opinies pessoais. Outro lado no  inimigo pq no concorda com voc.',São Paulo,52880219,2009-07-01 22:53:04,False,False,,14,525,False,,176,False,b'Ricardo Amaral',en,velhosabujo,False,1A1B1F,http://pbs.twimg.com/profile_images/785334316595380224/GInOXgpC_normal.png,,1117499802462371845,0,False,Twitter for Android,False,0
"b'@Bibimarti1 @lolaescreva Parece mto com bot:\n-Nickname,\n-Especialista no tema abordado,\n-Entrou no twitter exatamen https://t.co/Af6RJdZW4J'",2019-04-14 18:48:10,,pt,b'None',,24257,14115,b'How can i go on?',"Paulo Afonso, Brasil",147744050,2010-05-24 23:16:32,False,False,,5,1184,False,,687,False,b' gy ',pt,sonobrasiliano,True,04085E,http://pbs.twimg.com/profile_images/1108149322493898752/FvrHLLrv_normal.jpg,,1117499807256514561,0,False,Twitter for Android,False,0
b'nem precisa mostrar a influencia do guru do presidente... a gente ta vendo nessas merdas q vcs fazem e falam desde https://t.co/cJ5W0KwTaS',2019-04-14 18:48:15,,pt,b'None',,2316,5649,b'Produtor de Vdeos para internet.\nConhea o Canal Como Chegar:\nVdeos de viagens e experincias culturais',"Salvador, Brasil",74734291,2009-09-16 13:47:50,False,False,https://www.youtube.com/canalcomochegar,2,247,False,,772,False,b'Nunes Diogo',pt,diogonunessr,True,7A5B26,http://pbs.twimg.com/profile_images/1112177216585125889/XuIFomaN_normal.jpg,,1117499826856517638,0,False,Twitter Web App,False,0
"b'E o pior, desqualificados arrotando inteligncia....'",2019-04-14 18:48:19,,pt,b'None',,613,104155,"b'Professora, Gestora, Empresria, Designer, Me e Apresentadora do Programa Rdio Mulher....vamos prosear?'","-9.622004,-35.725862",44714905,2009-06-04 20:40:47,False,False,,15,2579,False,,1232,False,b'Lwabeserra',pt,Lwabeserra,True,FFF04D,http://pbs.twimg.com/profile_images/892724566694473729/sfiGO9CY_normal.jpg,,1117499845483335683,0,False,Twitter for iPad,False,0
"b'@BereanodoRJ @BlogdoNoblat Minion! Qnd o Bozo fizer e falar besteira, tem que noticiar sim!'",2019-04-14 18:48:29,,pt,b'None',,32,411,b'Coordenador da Empresa Curso Valdenora Nogueira - 83988855581',"-7.114304,-34.831345",230352081,2010-12-25 04:45:24,False,False,,1,107,False,,262,False,b'Ulisses Nogueira',pt,ulisses82,True,569FD2,http://pbs.twimg.com/profile_images/1067616034327281664/dw_He5vN_normal.jpg,,1117499883521548288,0,False,Twitter for Android,False,0
"b'@fn7k Necessrio acabar com essa prtica. FGV, acusada por Srgio Cabral de partcipe da corrupo no seu governo, https://t.co/el6pyyEiAa'",2019-04-14 18:48:34,,pt,"b""Place(_api=None, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='So Paulo', full_name='So Paulo, Brasil', country_code='BR', country='Brasil', bounding_box=BoundingBox(_api=None, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.826039, -23.356792], [-46.365052, -23.356792], [-46.365052, -24.008814]]]), attributes={})""",,8571,17539,b'Consultor em Gesto e Gesto Interina de Mdias e Grandes Empresas. Shareholder Value. No presto e nunca prestei consultoria para o governo ou suas empresas.',"São Paulo, Brasil",399500165,2011-10-27 15:56:40,False,False,,2,884,False,,1133,True,b'Jos Fagundes',pt,BetoJosefgnds,True,C0DEED,http://pbs.twimg.com/profile_images/1112171162606411777/YLBY4txc_normal.png,,1117499905365422082,0,False,Twitter Web Client,False,0
"b'@dariojjunior Houve queda na cotao, mas no houve prejuzo e sim valorizao durante o ano.  pura manipulao da https://t.co/sdSsN5yHTj'",2019-04-14 18:48:34,,pt,b'None',,14172,11342,b'#DireitaUnida #DireitaSegueDireita #Rob17 #TiaDoZap #MarketeirosDoJair #MulheresComBolsonaro #TodosComBolsonaro #FaoParteDaTurmaDoBolsonaro',"Rio de Janeiro, Brasil",1046219014559727617,2018-09-30 02:03:45,False,False,,0,3365,False,,5002,True,b'Daniela Pastorino Silva Marketeira do Jair  17',en,PastorinoSilva,False,F5F8FA,http://pbs.twimg.com/profile_images/1046764198297038849/j7jrnrmC_normal.jpg,,1117499905600311296,0,False,Twitter for iPhone,False,0
